rank,wave,class,sourceKey,commercial tier,tier why,country deficiency,priority,country,destination,category,required subject,required composition,widest display px,action,acquisition route,cost band,canonical asset id,current reference,replacement filename,pages,hero on,first page,why,current provider,current photographer,current source
1,"W1 re-crop, commercially live",RECROP,pexels:32459095,1,operator — bookable today,59%,P1,namibia,,hero,"red dunes at Sossusvlei with long morning shadows, Namibia",4/3 and 16/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000407,https://images.pexels.com/photos/32459095/pexels-photo-32459095.jpeg,namibia/hero/red-dunes-at-sossusvlei-with-long-morning-shadows-namibia.avif,2,/tourism/namibia.html,/tourism/index.html,"relevance 7.5, subject query, names its country",pexels,Edoardo Tommasini,https://www.pexels.com/photo/stunning-sand-dunes-and-trees-in-namib-desert-32459095/
2,"W1 re-crop, commercially live",RECROP,unsplash:MlCHlQtFKhg,1,operator — bookable today,59%,P3,namibia,self drive country,adventure,"a gravel road running straight to the horizon, Namibia",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000403,https://images.unsplash.com/photo-1565204630921-bbafec59a229,namibia/adventure/a-gravel-road-running-straight-to-the-horizon-namibia.avif,2,/places/namibia/self-drive-country.html,/places/namibia/self-drive-country.html,"relevance 4.0, subject query, names its country",unsplash,Vicky Sim,https://unsplash.com/photos/brown-road-MlCHlQtFKhg
3,"W1 re-crop, commercially live",RECROP,pexels:35274058,1,operator — bookable today,59%,P3,namibia,eleven peoples,culture,"a Herero woman in traditional dress, Namibia",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000405,https://images.pexels.com/photos/35274058/pexels-photo-35274058.jpeg,namibia/culture/a-herero-woman-in-traditional-dress-namibia.avif,3,/places/namibia/eleven-peoples.html,/places/namibia/eleven-peoples.html,"relevance 4.0, subject query, names its country",pexels,Khulani Faniso,https://www.pexels.com/photo/traditional-african-attire-couple-portrait-35274058/
4,"W1 re-crop, commercially live",RECROP,pexels:34780711,1,operator — bookable today,59%,P3,namibia,desert adapted wildlife,wildlife,"a desert-adapted elephant in a dry riverbed, Namibia",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000413,https://images.pexels.com/photos/34780711/pexels-photo-34780711.jpeg,namibia/wildlife/a-desert-adapted-elephant-in-a-dry-riverbed-namibia.avif,3,/places/namibia/desert-adapted-wildlife.html,/places/namibia/desert-adapted-wildlife.html,"relevance 5.5, subject query, names its country",pexels,Rino Adamo,https://www.pexels.com/photo/african-elephants-at-a-waterhole-in-namibia-34780711/
5,"W1 re-crop, commercially live",RECROP,unsplash:NrrzGBcU6aM,1,operator — bookable today,38%,P3,uganda,half the worlds gorillas,why-visit,"a silverback mountain gorilla resting in the Bwindi undergrowth, Uganda",16/9 and 21/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000606,https://images.unsplash.com/photo-1620148878899-7c9b16ce9651,uganda/why-visit/a-silverback-mountain-gorilla-resting-in-the-bwindi-undergrowth-uganda.avif,2,/places/uganda/half-the-worlds-gorillas.html,/places/uganda/half-the-worlds-gorillas.html,"relevance 5.4, subject query, names its country",unsplash,Ylenia Vimercati Molano,https://unsplash.com/photos/black-gorilla-on-green-grass-during-daytime-NrrzGBcU6aM
6,"W1 re-crop, commercially live",RECROP,unsplash:ayK9OL49mq4,1,operator — bookable today,38%,P3,uganda,wildlife encounters,wildlife,"a mountain gorilla in the Bwindi Impenetrable Forest, Uganda",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000607,https://images.unsplash.com/photo-1711198598802-c890ae001719,uganda/wildlife/a-mountain-gorilla-in-the-bwindi-impenetrable-forest-uganda.avif,3,/places/uganda/wildlife-encounters.html,/places/uganda/wildlife-encounters.html,"relevance 6.0, subject query, names its country",unsplash,Gabriel Schumacher,https://unsplash.com/photos/a-black-gorilla-laying-in-the-middle-of-a-forest-ayK9OL49mq4
7,"W1 re-crop, commercially live",RECROP,unsplash:tZ_SGsO5aK4,2,"priced route — East, South and continental",81%,P3,botswana,the largest elephant population,wildlife,"elephants coming down to the Chobe river in late light, Botswana",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000031,https://images.unsplash.com/photo-1736705245463-8347e6828558,botswana/wildlife/elephants-coming-down-to-the-chobe-river-in-late-light-botswana.avif,4,/places/botswana/the-largest-elephant-population.html,/botswana.html,"relevance 6.0, subject query, names its country",unsplash,Travel2Africa,https://unsplash.com/photos/a-group-of-elephants-walking-across-a-body-of-water-tZ_SGsO5aK4
8,"W1 re-crop, commercially live",RECROP,pexels:8944070,2,"priced route — East, South and continental",65%,P3,zimbabwe,hwanges elephant,wildlife,"elephants crowding a pumped waterhole in Hwange, Zimbabwe",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000629,https://images.pexels.com/photos/8944070/pexels-photo-8944070.jpeg,zimbabwe/wildlife/elephants-crowding-a-pumped-waterhole-in-hwange-zimbabwe.avif,4,/places/zimbabwe/hwanges-elephant.html,/zimbabwe.html,"relevance 4.5, subject query, names its country",pexels,Dorota Semla,https://www.pexels.com/photo/herd-of-elephants-standing-on-a-ground-8944070/
9,"W1 re-crop, commercially live",RECROP,pexels:36597753,2,"priced route — East, South and continental",59%,P1,south-africa,,hero,"Table Mountain above Cape Town and the harbour at sunrise, South Africa",4/3 and 16/9,2400,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000515,https://images.pexels.com/photos/36597753/pexels-photo-36597753.jpeg,south-africa/hero/table-mountain-above-cape-town-and-the-harbour-at-sunrise-south-africa.avif,2,/tourism/south-africa.html,/tourism/index.html,"relevance 6.0, subject query, names its country",pexels,Adrien Olichon,https://www.pexels.com/photo/majestic-view-of-table-mountain-from-the-highway-36597753/
10,"W1 re-crop, commercially live",RECROP,pexels:32721025,2,"priced route — East, South and continental",59%,P3,south-africa,eleven languages,culture,"Zulu dancers in traditional dress in KwaZulu-Natal, South Africa",16/9,1800,cut a second crop from the file we already hold,re-crop,"A — none. We hold the file; this is an hour of somebody's attention, not a purchase.",AKL-000514,https://images.pexels.com/photos/32721025/pexels-photo-32721025.jpeg,south-africa/culture/zulu-dancers-in-traditional-dress-in-kwazulu-natal-south-africa.avif,4,/places/south-africa/eleven-languages.html,/south-africa.html,"relevance 6.0, subject query, names its country",pexels,Ryan Lansdown,https://www.pexels.com/photo/nguni-cattle-grazing-in-scenic-kwazulu-natal-landscape-32721025/
